Product Name,Code,Batch No,"MFI (gm/10min)
(min)","MFI (gm/10min)
(max)","Density
(gm/cc)
(min)","Density
(gm/cc)
(max)","Ash Content
(%)
(min)","Ash Content
(%)
(max)","Moisture
(%)","TS @ yield(MPa)
(min)","TS @ yield(MPa)
(max)","El@yl ( % )
(min)","El@yl ( % )
(max)","Flexural Modulus(MPa)
(min)","Flexural MS(MPa)
(max)","Flexural Strength @ PL(MPa)
(min)","FS @ PL(MPa)
(max)",Izod imp(J/m)(min),"500
(min)","500
(max)",Izod imp(J/m)(max),Flammability @3.2 mm (Rating),"Flammability
(thickness (mm))","HDT 
(Min) ( °C )","HDT
(max) (°C)",Glow Wire Test @ 3.2mm (°C),"Glow Wire Test
thickness (mm)","El@Brk ( % )
(min)","El@Brk ( % )
(max)",Remark,Rev. No.,COLOR,"Mould Shrinkage, Linear(%)",Water Absorption(%),"Un-Notched Izod Impact Strength @ 23°C, 3.2 mm		","Melting Point(°C)
(min)","Un-annealed, HDT @ 0.455 MPa	",Vicat Softening Point,Coefficient of Linear Thermal Expansion                ,Comparative Tracking Index,Dielectric Strength(KV/mm),Dielectric Constant(Unit Less),Volume Resistivity (Ohm.cm),Surface Resistivity(Ohm),Drying Temperature Dehumidified dryer(°C),Drying Time(Hrs),Rear Temperature(°C),Middle Temperature(°C),Front Temperature,Nozzle Temperature(°C),Mold Temperature(°C),MFI TEST CONDITION,"Mould Shrinkage, transverse","Tensile Strength at Yield, TEST CONDITION","Tensile Modulus, TEST CONDITION",Elongation at Yield TEST CONDITION,Flexural Strength TEST CONDITION,Flammability @0.8,Flammability @1.6,GWT @0.8,GWT @1.6,L (min),a (min),b (min),Issue Date,L (max),a (max),b (max),,ROHS,REACH,Halogen Free,Long Cut,Color Variation (Black Spot Free),Finish (Shine/Dull),Recycle Content Type (PIR/PCR),PIR %tage,PCR %tage,Yellow Card,Phosphorus Free,Persistent organic pollutants (POP),Aesthetic function,Railway fire smoke requirements (EN45545),Friction resistance,"Fatigue resistance  {ISO 13003 (flexure fatigue),ISO 15850 (delamination)}",Ozone resistance,Chemical resistance ,Laser printing,Pad printing,Labelling ,"Welding Precise mode (laser, ultrasonic, ..)",Delta E,Transmittance,GWT or UL Seconds
HiLENE™ Unfilled PP FR White,500C0091F,,20,30,0.93,0.97,,8,0.2,25,31,6,10,"1,000.00","1,800.00",37,43,60,,,,V2,3.2,60,70,850,0.8,,,,Rev. No. 00,White,2,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,V2,,,,,,5/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
HiLENE™ Unfilled FR PP Natural,500C0031F,,10,20,0.95,0.99,,1,0.2,22,28,6,10,"1,000.00","1,800.00",32,38,60,,,,V2,0.8,55,65,850,0.8,,,,Rev. No. 01,Natural,2,0.25,,160 ± 3,105 ± 5,,,,,,,,70 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200,60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,V2,,,,,,5/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
HiLENE™ 15% TF PP Lemon Green,500C1151,,8,12,0.94,0.98,16,20,0.15,24,30,6,10,"1,200.00","1,400.00",37,43,50,,,,,3.2,70,80,,,,,,Rev. No. 00,Lemon Green,1.8,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 10% TF PP Natural,500C1131,,17,23,0.93,0.97,8,12,0.15,27,33,8,10,"1,200.00","1,400.00",42,48,37,,,,,3.2,70,80,,,,,,Rev. No. 01,Natural,1.8,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ 10% TF PP Navy Blue,500C1161,,12,,1,1.04,16,20,0.15,24,30,6,10,"1,100.00","1,500.00",36,46,50,,,,,3.2,65,75,,,,,,Rev. No. 00,Navy Blue,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 10 % TF PP Mid Grey,500C1181,,17,27,0.98,1.02,19,23,0.15,24,30,6,10,"1,200.00","1,400.00",37,43,45,,,,,3.2,70,80,,,,,,Rev. No. 00,Grey,1.5,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,1.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ PP 10%GF Dark Grey,500C1182,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Dark Grey,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ PP Grey Compound,500C1185,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Grey,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 10% TF PP Black,500C1201,,10,20,0.94,0.98,8,12,0.15,24,30,6,10,"1,000.00","1,200.00",32,38,40,,,,,3.2,60,70,,,,,,Rev. No. 00,Black,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ 10% TF PP Natural,500C1231,,10,20,1,1.04,16,20,0.15,23,29,6,10,"1,100.00","1,300.00",32,38,40,,,,,3.2,65,75, ,,,,,Rev. No. 00,Natural,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ 15% TF PP Nat.,500C1232,,10,20,0.98,1.02,13,17,0.2,22,26,6,10,"1,200.00","2,200.00",33,39,40,,,-,-,-,60,70,,,,,,Rev. No. 01,Nat.,1.8,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,1.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ PP Light Blue Compound,500C1261,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Light Blue,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ PP Violet Compound,500C1271,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Violet,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ PP Grey Compound,500C1281,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Grey,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
#N/A,500C1291,,8,16,0.98,1.02,16,20,0.15,23,29,6,10,"1,200.00","1,400.00",32,38,40,,,50,,3.2,60,70,,,,,,Rev. No. 00,Milky White,1.8,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ Milky White PP Compound,500C1294,,10,16,0.96,1,12,16,0.15,26,30,6,10,"1,100.00","1,300.00",38,42,60,,,,,3.2,60,70,,,,,,Rev. No. 00,Milky White,< 2.00,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ MF PP IFB White,500C1292,,8,12,0.98,1.02,17,21,0.15,23,29,6,10,"1,100.00","1,300.00",32,38,40,,,50,,3.2,60,70,,,,,,Rev. No. 01,IFB White,1.8,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 20% TF PP Ivory,500C2111,,8,12,0.98,1.02,18,22,0.15,25,31,6,10,"1,100.00","1,400.00",35,45,40,,,50,,3.2,70,80,,,,,,Rev. No. 01,Ivory,1.8,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 20 % GF PP Black,500C2001,,10,18,1.01,1.05,18,22,0.15,50,70,4,8,"2,150.00","2,450.00",80,100,100,,,,,3.2,135,145,,,,,,Rev. No. 01,Black,1.3,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,1.5,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ 20% GF PP Black,510C2001,,5,15,1.02,1.06,18,22,0.2,50,60,6,10,"2,000.00","3,000.00",85,95,150,,,,,3.2,135,145,,,,,,Rev. No. 01,Black,1.5,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,1.5,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ 20% GF PP Beige,500C2011,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Beige,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 20 % GF PP Natural,500C2031,,5,15,1.01,1.05,18,22,0.2,50,70,5,9,"2,500.00","3,500.00",80,100,80,,,,,3.2,140,150,,,,,,Rev. No. 02,Natural,1.2,0.25,,160 ± 3,150 ± 5,,,500,,-,1.00E+14,1.00E+14,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 210,60 - 80,230°C/2.16kg,1.5,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,25/1/2022,,,,,,,,Long Cut free,black spot free,Shine,,,,,,,,,,,,,,,,,,,
HiLENE™ 20% GF PP Natural,500C2031H,,9,15,1.01,1.05,18,22,0.2,60,70,7,11,"1,800.00","2,200.00",90,110,85,,,,,3.2,140,150,,,,,,Rev. No. 00,Natural,1,0.25,,160 ± 3,150 ± 5,,,500,,-,1.00E+14,1.00E+14,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 210,60 - 80,230°C/2.16kg,1.2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,24/5/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ 20%TF PP Dark Pink,500C2123,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Dark Pink,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 20% MF PP Black,500C2201,,15,25,1.04,1.08,18,22,0.2,18,24,6,10,"1,000.00","1,600.00",25,35,50,-,-,-,-,-,65,75,-,-,-,-,-,Rev. No. 00,Black,1.5,0.25,-,160 ± 3,-,-,-,-,-,-,-,-,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,1.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,-,-,-,25/4/2023,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ PP 20% TF Beige,500C2211,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Beige,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 20% MF PP Ivory,500C2212,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Ivory,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 20 % TF PP Lemon Green,500C2251,,20,30,0.99,1.03,22,26,0.15,22,26,6,10,"1,200.00","1,400.00",37,43,50,,,,,3.2,70,80,,,,,,Rev. No. 00,Lemon Green,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 20% MF PP Sky Blue,500C2261,,10,30,1.03,1.07,18,22,0.2,22,28,6,10,"1,500.00","2,500.00",45,55,40,,,,-,-,70,80,-,-,-,-,-,Rev. No. 01,Sky Blue,1.5,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,1.5,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,82.85,-8.2,-10.3,9/11/2022,83.3,-8.1,-10.2,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ MF PP Blue,500C2262,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Blue,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ MF PP Navy Blue,500C2263,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Navy Blue,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ MF PP Grey Compound,500C2281,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Grey,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 15% TF PP White,500C2191,,10,20,0.99,1.03,13,17,0.2,22,28,8,12,"1,200.00","2,200.00",32,38,40,,,40,-,3.2,70,80,,,,,,Rev. No. 03,White,1.5,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,1.5,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,93.96,-0.94,1.07,8/11/2022,94.24,-0.73,1.54,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 20% TF PP White,500C2192,,7,17,1,1.04,18,22,0.2,30,36,5,9,"2,200.00","3,200.00",45,55,30,,,,,3.2,70,80,,,,,,Rev. No. 01,White,1.7,0.25,,160 ± 3,,,,,,,,,80 - 100,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200,60 - 80,230°C/2.16kg,1.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,95.42,-0.75,1.8,10/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 20% TF PP Natural,500C2131,,15,21,0.99,1.03,18,22,0.15,27,33,6,10,"1,400.00","1,600.00",40,50,30,,,,,,70,80,,,,,,Rev. No. 01,Natural,1.5,0.25,,160 ± 3,,,,,,,,,80 - 100,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200,60 - 80,230°C/2.16kg,1.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ 20% TF PP Grey,510C2181,,10,14,0.98,1.02,18,22,0.15,23,27,6,10,"1,100.00","1,300.00",33,37,55,,,,,,70,80,,,,,,Rev. No. 01,Grey,1.5,0.25,,160 ± 3,,,,,,,,,80 - 100,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200,60 - 80,230°C/2.16kg,1.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 20% MF FR PP Natural,500C2131F,,15,25,1.01,1.05,18,22,0.15,27,33,6,10,,,45,55,25,,,,V2,0.8,75,85,850,0.8,,,,Rev. No. 00,Natural,1.2,0.25,,160 ± 3,125 ± 5,,,,,,,,70 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200,60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
HiLENE™ 20% TF PP Natural,500C2132,,7,17,1,1.04,18,22,0.15,32,38,5,9,"2,500.00","3,100.00",60,70,30,,,,,3.2,70,80,,,,,,Rev. No. 00,Natural,1.7,0.25,,160 ± 3,,,,,,,,,80 - 100,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200,60 - 80,230°C/2.16kg,-,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ MF PP IFB White,500C2292,,25,35,1.1,1.12,25,29,0.15,22,26,7,9,"1,000.00","1,200.00",36,42,40,,,50,,3.2,70,80,,,,,,Rev. No. 00,White,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 20 % MF PP IFB White,500C2293,,12,18,1.03,1.07,18,22,0.15,18,22,5,9,"1,200.00","1,400.00",28,32,100,,,,,3.2,70,80,,,,,,Rev. No. 00,White,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 25 % MF PP Opel White,500C2295,,20,30,1.05,1.09,25,29,0.15,22,28,6,10,"1,200.00","1,400.00",35,45,60,,,,,3.2,70,80,,,,,,Rev. No. 01,Opel White,1,0.25,,160 ± 3,-,-,-,-,-,-,-,-,80 - 100,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200,60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 30% GF PP Black,500C3001,,5,11,1.08,1.12,28,32,0.15,70,80,6,10,"3,500.00","3,900.00",110,130,100,,,,,3.2,140,150,,,,,,Rev. No. 02,Black,0.6,0.25,,160 ± 3,,,,,-,-,-,-,80 - 100,4-Feb,160 - 170,170 - 180,180 - 190,190 - 210,60 - 80,230°C/2.16,1,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ 30% GF PP Natural,500C3031,,5,11,1.06,1.1,28,32,0.2,70,90,4,8,"3,000.00","3,500.00",110,130,100,,,,HB,3.2,145,155,650,3.2,,,,Rev. No. 02,Natural,0.6,0.25,,160 ± 3,155 ± 5,,,500,,,1.00E+14,1.00E+14,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 210,60 - 80,230°C/2.16,1,5 mm/min,5 mm/min,5 mm/min,2 mm/min,HB,HB,650,650,,,,25/1/2022,,,,,,,,Long Cut free,black spot free,Shine,,,,,,,,,,,,,,,,,,,3
HiLENE™ 30% TF PP Black,500C3101,,15,25,1.08,1.12,28,32,0.15,22,28,7,9,"1,400.00","1,600.00",34,40,70,,,,,3.2,65,75,,,,,,Rev. No. 02,Black,1.4,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,1.6,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,21/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ 30% TF PP Compound Black,500C3102,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Black,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ 30 % TF PP Natural,500C3131,,18,24,1.1,1.14,28,32,0.15,23,27,6,10,"1,100.00","1,300.00",33,37,55,,,65,,3.2,75,85,,,,,,Rev. No. 00,Natural,1.4,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,1.6,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,21/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ 30% MF FR PP Natural,500C3131F,,10,20,1.12,1.16,28,32,0.2,30,36,6,10,"3,000.00","4,000.00",50,60,25,,,,V2,0.8,80,90,850,0.8,,,,Rev. No. 02,Natural,1,0.25,,160 ± 3,135 ± 5,,,,,,,,70 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200,60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,5/3/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
HiLENE™ 30% MF FR PP Grey,500C3181F1,,10,20,1.12,1.16,28,32,0.2,26,34,5,9,"2,500.00","3,500.00",40,50,25,,,,V2,0.8,80,90,850,0.8,,,,Rev. No. 00,Grey,1,0.25,,160 ± 3,135 ± 5,,,,,,,,70 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200,60 - 80,230°C/2.16kg,,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,3/5/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
HiLENE™ 30% TF PP FR White,500C3191F,,10,20,1.12,1.16,28,32,0.2,30,36,6,10,"3,000.00","4,000.00",50,60,25,,,,V2,0.8,80,90,850,0.8,,,,Rev. No. 00,White,1,0.25,,160 ± 3,135 ± 5,,,,,,,,70 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200,60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,19/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
HiLENE™ 30% MF PP Black,500C3201,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Black,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ 30% MF PP Grey,500C3282,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Grey,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 30% MF PP White,500C3295,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,White,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
