,,,,,,,,
,,,,,,,,
,Action ID,Application,Component Name,Current Supplier Name,Current Supplier Grade,Current Supplier Datasheet,Product Grade,Product Description
,,Electrical,Allout Mosqueto killer,Kingfa,R200,https://drive.google.com/open?id=12Me3X5FVY2JlVM0b-crudNs_2I3iNAt0,,#N/A
,,Electrical,Electrical Bobbine,CALCO,730C5031,,,#N/A
,,Electrical,Electrical Parts,CALCO,NA.,,,#N/A
,,Electrical,Electriacal Parts,CALCO,NA.,,,#N/A
,NSL223558,Industrial,DELTA PEDASTER,CALCO,710C3031HFHS,,710C3031,CiLON™ 30% GF PA 6 Natural
,,Electrical,ICE TREY,DERCO,DERCO,,,#N/A
,NSL223550,Electrical,All out,Kingfa,R200,https://drive.google.com/open?id=1LJK2fF0RUnLGR35VdbLZa1cy4hyFIFeH,500C1191F,#N/A
,NSL223564,Automotive,NO,CALCO,710C5031,,710C5031,CiLON™ 50% GF PA6 Natural
,NSL223566,Automotive,CALCO,CALCO,731C3001F,,731C3001F,ZiLITE™ 30 % GF FR PBT Black
,NSL223565,Automotive,NO,CALCO,710C5001,,710C5001,CiLON™ 50% GF PA6 Black
,NSL223560,Electrical,Suspension Clamp,DSM,K224G0,,Insufficient Information,#N/A
,NSL223521,Automotive,Push ,Sabic,PBT Valox 3251,,730C0001,"ZiLITE™ Unfilled PBT, Black"
,NSL223535,Appliance,Appliances,NA,NA,,730C0001,"ZiLITE™ Unfilled PBT, Black"
,NSL223568,Industrial,NA,NA,NA,,720C0031,CiLON™ UF PA66 Natural
,NSL223552,Appliance,Allout Body,Kingfa,R200,,Insufficient Information,#N/A
,NSL223562,Electrical,ICE TREY,DERCO,NA,,Reject,#N/A
,NSL223571,Electrical,GEYSER TH COVER,NA,NA,,710C3001F,CiLON™ 30 % GF FR PA 6 Black
,NSL223561,Industrial,SUMMER SLITER,NA,NA,,711C3001M,CiLON™ 30 % GF PA6 Black
,NSL223569,Automotive,automotive,LANXESS,POCAN T7331 ,https://drive.google.com/open?id=1S6zSQiEol47KAHneFHRX75RbTy48VDbb,740C3001F,#N/A
,,Industrial,NA,NA,NA,,,#N/A
,NSL223574,Automotive,KNOB,CALCO,CALCO,,710C0001UVS,CiLON™ UF PA6 UV Stabilized Black
,NSL223573,Automotive,CASE UPPER/LOWER,CALCO,CALCO,,710C3001UV,#N/A
,OF/1283,Industrial,Switch slider,KLJ,na,,#N/A,#N/A
,NSL223578,Electrical,Gyser therostate cover,NA,NA,,710C0031F,"CiLON™ Unfilled FR PA 6 Natural, Halogen & Phosphorus Free"
,NSL223579,medical,afety Pen Needle (it is an internal element of the device as in the photo - it is specifically covered with a PP cover),N/A,Celanex 2002-2 nat,"https://drive.google.com/open?id=17CtjABBIIQZ9QHgvu5QZtsG7GQ9aGczx, https://drive.google.com/open?id=16K0fw2ONJksO4r3TSLzXlQOpgKFQZCSE",730C0032,ZiLITE™ UF PBT Natural
,NSL223580,Automotive,Exaust cover,Brakes India,PBT4261,,770C3002,#N/A
,NSL223576,Automotive,Coupler,Calco,NA,,711C3002,CiLON™ 30 % GF PA 6 Black
,NSL223577,Automotive,HVAC part,Sabic,1731,https://drive.google.com/open?id=1aDEMR6ejr9MfQ8nRAwdABihRJMVdXazR,760C0001,#N/A
,NSL223589,Industrial,IDUSTRIAL GRADE ,NA,NA,,510C3284,HiLENE™ 30 % TF PP Grey
,NSL223570,Electrical,Operating stud,Celanese,PBT HR5330HF NC010,https://drive.google.com/open?id=1DaC2pmryy4LanlUxLo-pYLZ5thDWIsCc,730C3001HD,ZiLITE™ 30% GF PBT Hydrolysis Resistance
,NSL223598,Industrial,"Furniture Wheel , Back Rest",Brakes,PA6GF3 Black,,710C4081,#N/A
,NSL223598,Industrial,furniture - Wheel / Back Rest,Breakes,40% PA6 Grey,,710C4081,#N/A
,NSL223594,Automotive,Automotive  ,DSM,PA6Blak,,710C0001,CiLON™ Unfilled PA 6 Black
,NSL223601,Industrial,Sanitary ,NA,NA,,730C1031,ZiLITE™ 15% GF PBT Natural
,NSL223600,Automotive,Coupler,NA,NA,,730C3391F,ZiLITE™ 30 % GF FR PBT White
,NSL223596,Automotive,Automotive,Dupont,Rynite® FR530 NC010,https://drive.google.com/open?id=1aulMWEODywxQR--tnaUrOUSDvSvxFlWM,740C3031F,#N/A
,NSL223595,Electrical,Electrical Socket,CALCO,710C2311F,,710C2311F,CiLON™ 20%MF + 5% GF FR PA6 RAL8016 Brown
,NSL223602,Automotive,automotive ,NA,NA,,721C3001,CiLON™ 33% GF PA 66 Black
,NSL223603,Appliance,Appliances part .,Calco,NA,,Reject,#N/A
,NSL223604,Automotive,Automotive part,DSM,PA6 Unfield Black,,710C0001,CiLON™ Unfilled PA 6 Black
,NSL223605,Automotive,auto component,Ascend / Ester,N6GF30 iBlack ,,Insufficient Information,#N/A
,NSL223606,Automotive,Two Wheeler Handle holder,"Ester , Next ",PA6GF30 Black,,Insufficient Information,#N/A
,NSL223609,Electrical,MCB,DSM,KMV5,,710C2383F4,CiLON™ 20% MF + 5% GF FR PA6 MCB RAL7035 Grey
,NSL223611,Electrical,CFL ,NA,NA,,710C5292,#N/A
,NSL223610,Electrical,CFL,KINGFA ,NA,,730C2091LOp,#N/A
,NSL223577,Automotive,Automotive,DSM,K224,,760C0001,#N/A
,NSL223620,Automotive,Switch Auto,Calco,Calco,,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL223621,Automotive,auto component,Brakes,pa6 unfiled black - 711C0002 ( 711C0001 got breaking ),,720C0001HS,CiLON™ UF PA66 Heat Stabilized Black
,NSL223621,Automotive,auto component,Ester,PA66 Unfiled Black,,720C0001HS,CiLON™ UF PA66 Heat Stabilized Black
,,Industrial,pa6 Unfiled Natural - 710C0001,GSFC,M28RC Natural,,,#N/A
,NSL223618,Industrial,BEDESGRAL WHEEL,CALCO,710C3031HFHS,,710C3032HFHS,#N/A
,NSL223588,Electrical,MCCB Housing ,ASCEND,STARFLAM RF00573 ,,Reject,#N/A
,NSL223591,Electrical,MCCB ,ASCEND,STARFLAM AFR450X2 ,,710C2081F1,CiLON™ 20% GF FR PA6 Grey
,NSL223590,Electrical,MCB,ASCEND,Nylon 6 gf30FRFH RAL 7035 ,,710C3081F1,CiLON™ 30% GF FR PA6 RAL7035 Grey
,NSL223593,Electrical,MCB,TIPCO,MF25Grey,,710C2281F,CiLON™ 25% MF FR PA6 Grey
,NSL223632,Automotive,WHEEL,CLEANSE ,ECOMID A D13 B/Y GY 7002/2 A1A1250,,720C1181,#N/A
,NSL223612,Automotive,Upper and lower switch ,Nexxa,Na,,#N/A,#N/A
,NSL223635,Automotive,AUTO COMPONENT,RADILON,PBTGF30 BROWN,,730C3011,ZiLITE™ 30% GF PBT Brown
,NSL223637,Electrical,MCCB PART,GUJLON ,GFPH BLACK,,711C3001M,CiLON™ 30 % GF PA6 Black
,NSL223639,Electrical, ECATING COVER (C&S),GUJLON,M28RC,,710C0001,CiLON™ Unfilled PA 6 Black
,NSL223641,Electrical,BUS BAR COVER,EASTER,XU400GY,,710C0082F,#N/A
,NSL223636,Electrical,MCB,KLJ,NA,,730C3381F,ZiLITE™ 30% GF + MF FR PBT Grey
,NSL223640,Electrical,PLUG,GUJLON,GF15H,,710C1031,CiLON™ 15 % GF PA 6 Natural
,NSL223586,Industrial,Textile Parts,UBE,1013NW8,,710C0034,#N/A
,NSL223638,Electrical,cover (C&S),NEXT POLYMER,NA,,711C0002,CiLON™ Unfilled PA 6 Black
,NSL223649,Appliance,Appliances part . Lid cover,Calco,NA,,720C0001,CiLON™ UF PA66 Black
,NSL223646,Automotive,Fastening clips,Na,Na,,730C3031,ZiLITE™ 30% GF PBT Natural
,NSL223647,Automotive,Fastening clips,Na,Na,,770C3001,ZiLITE™ 30 % GF PBT+ASA BLK
,NSL223648,Automotive,Fastening clips ,Na,Na,,720C3004HS,CiLON™ 30% GF PA66 Black
,NSL223651,Industrial,Bearing Cage,Calco,NA,,721C0001,CiLON™ Unfilled PA 66 Black
,NSL223652,Industrial,V Block Pulley,Calco,NA,,711C2003,CiLON™ 20% GF PA6 Black
,NSL223653,Automotive,Auto Component,"BASF, DSM",N66GF33 Natural,,720C3034,CiLON™ 30% GF PA66 Natural
,NSL223599,Appliance,Chari Base / Rest,Brakes,PA6GF30 Black,https://drive.google.com/open?id=1nkgnCh-5Hd4qIOq_a5UmocPPbAM5yCYH,711C3001HF,CiLON™ 30 % GF PA 6 Black
,NSL223657,Automotive,Auto component,Ascned,N6GP28 Black,,711C0002,CiLON™ Unfilled PA 6 Black
,NSL223619,Automotive,automotive part,NA,NA,,711C3001HF,CiLON™ 30 % GF PA 6 Black
,NSL223656,Electrical,COOLER PART,NA,NA,,Insufficient Information,#N/A
,NSL223659,Automotive,AUTOMOTIVE PART,NA,NA,,711C0001,CiLON™ Unfilled PA 6 Black
,NSL223665,Appliance,Water Tap,DSM (Envalior),B600,,730C0033,ZiLITE™ Unfilled PBT Natural
,NSL223554,Industrial,"Heavy duty clamp, Three pol clamp","Ravago, PI",PA 6 GF 30,https://drive.google.com/open?id=1RCBQX29EilkZlntRF0_cMOaDYTxPMCqR,711C3002IM,#N/A
,NSL223616,Industrial,BOOSTER PUMP PARTS,AXEL,DPNYL GF NG 1512 IM BLACK,https://drive.google.com/open?id=1kgHlf8hqGZgVknMw4REE5NYxbFhRTXcW,#N/A,#N/A
,NSL223617,Industrial,BOOSTER PUMP PARTS,AXEL,DPNYL GF NG 312 NATURAL,,Reject,#N/A
,NSL223615,Industrial,Booster Pump Parts,"PI, AXEL",DPNYL GF NG 312 BLACK,https://drive.google.com/open?id=1hUEfbGed22_niWpek1pss19wwYZVl5yn,#N/A,#N/A
,NSL223667,Industrial,Impeller parts(bowl),Sabic,Noryl GFN3,https://drive.google.com/open?id=1WUoAmTbz3wn19hXKsW05yOx7_YC-k7H-,Reject,#N/A
,NSL223654,Electrical,electrical parts,Calco,NA,,720C3031F,CiLON™ 30% GF FR PA66 Natural
,NSL223655,Electrical,Electrical parts,SGF,tufnyl SGF 30 FR V0,,710C3031F,"CiLON™ 30 % GF FR PA 6 Natural, Halogenated"
,NSL223670,Industrial,Trypod,Brakes India,PA1031,,711C3001,CiLON™ 30 % GF PA 6 Black
,NSL223682,Automotive,Switch Knob,calco,Calco,,711C1001A,CiLON™ 15% GF PA6 Black
,NSL223668,Automotive,Upper and lower switch,Easter,easter,,710C3001E,CiLON™ 30% GF PA6 Ebony Black
,NSL223671,Industrial,Slider,CAlco,calco,,711C0002,CiLON™ Unfilled PA 6 Black
,NSL223622,Automotive,auto component,Ester,PA6 Unfiled black,,710C0001,CiLON™ Unfilled PA 6 Black
,NSL223674,compound,compound,Various,Various,,721C0001,CiLON™ Unfilled PA 66 Black
,NSL223680,compound,compound,various,various,,711C0001,CiLON™ Unfilled PA 6 Black
,NSL223681,compound,compound,various,various,,711C0002,CiLON™ Unfilled PA 6 Black
,NSL223650,Appliance,Chair Parts,DSM,N series,,Reject,#N/A
,NSL223673,Electrical,electrical component,N/A,N/A,,720C0001F1,#N/A
,NSL223687,Appliance,Washing Machin Clamp,SYNERGY,PA6 30G,,710C1001,CiLON™ 15 % GF PA6 Black
,NSL223660,Electrical,MCB HOUSING,ESTER,NA,,Reject,#N/A
,NSL223662,Electrical,Electrical Lkob,DSM,NA,,#N/A,#N/A
,NSL223643,Industrial,Wheel Chair,DSM,AKULON N22D,,711C3001M,CiLON™ 30 % GF PA6 Black
,NSL223688,Appliance,Washing Machin Clamp,SYNARGY,NG 30 NAT,,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL223689,Industrial,Irrigation Wall,SYNARGY,PA6UF,,711C0002,CiLON™ Unfilled PA 6 Black
,NSL223690,Industrial,cable tie,GSFC,M28RC,,710C0031,CiLON™ Unfilled PA 6 Natural
,NSL223701,Industrial,Industrial parts,Calco,NA,,711C1001A,CiLON™ 15% GF PA6 Black
,NSL223698,Automotive,Automotive Parts,NA,NA,,710C3001E,CiLON™ 30% GF PA6 Ebony Black
,NSL223700,Electrical,COVER ELECTYRICAL,DSM,K225KS,,710C0001F,CiLON™ UF FR PA6 Black
,NSL223699,Electrical,ELECTRICAL COVER,DSM,K225,,711C0001,CiLON™ Unfilled PA 6 Black
,NSL223695,Electrical,BOARD SOCAIT ,COSETERO,PC2407-703905,,750C0081F,#N/A
,NSL223696,Electrical,BOARD SOCAIT,COSETRO,PC2407-012483,,750C0091FOP,PiCAN™ UF FR PC Opaque White
,NSL223702,Electrical,Electrical Connector,Calco,NA,,720C0031F1,#N/A
,NSL223673,Electrical,electrical component,n/a,n/a,,720C0001F1,#N/A
,NSL223706,Automotive,Cable Tie,Brakes,Nylon 66 Unfiled Black,,711C1201,CiLON™ 15% MF PA6 Black
,NSL223707,Automotive,Mud Clamp,Brakes,N6MF15 Black,,730C3001,ZiLITE™ 30% GF PBT Black
,NSL223708,Appliance,PBTGF30 Black,Ester,PBTGF30 Black,,720C0002ST,CiLON™ UF PA66 Super Tough Black
,NSL223710,Automotive,AUTO COMPONENT ,NA,NA,,711C0002,CiLON™ Unfilled PA 6 Black
,NSL223715,Automotive,different small parts,NA,NA,,711C0001,CiLON™ Unfilled PA 6 Black
,NSL223718,Automotive,760C,CALCO,760C1004,,#N/A,#N/A
,NSL223703,Automotive,Automotive oparts,NA,NA,https://drive.google.com/open?id=1rk5AkhEVNJogHWwrsdxZip_tsPAypunL,Reject,#N/A
,NSL223716,Electrical,Hand Mixer,NA,NA,,#N/A,#N/A
,NSL223563,Electrical,Allout Body,Kingfa,PP-91905,https://drive.google.com/open?id=1ccH4_KS85LaYi_cajmSBxsfTG9zGDGbq,Reject,#N/A
,NSL223719,Automotive,auto component,Ascend,N66GF33black,,720C3001,CiLON™ 33 % GF PA 66 Black
,NSL223721,Automotive,Automotive parts,Covestro,T85 XF,https://drive.google.com/open?id=1dkrRl4NfC4f0pq_oGOeJiO-_OMglZn5G,#N/A,#N/A
,NSL223729,Automotive,auto parts,K-Lon,PA06MG2010BLK,https://drive.google.com/open?id=1rLAsKwGhbV3HzCniYhUguf0_w-4wItK-,#N/A,#N/A
,NSL223614,Electrical,Electrical Parts,N.A.,N.A.,,710C0031F,"CiLON™ Unfilled FR PA 6 Natural, Halogen & Phosphorus Free"
,,Automotive,run-Flat Tires,CALCO,710C0001ST,,,#N/A
,,Lighting,End Cap & Griper,KLJ,KA1 1320 WH59,,,#N/A
,,Electrical,Electrical Parts,NA.,NA.,,,#N/A
,NSL223730,Automotive,AUTOMOTIVE PART,NEXA,NA,,710C3033,CiLON™ 30% GF PA6 Natural
,NSL223744,Automotive,Switch holder,Ascend/Formulated,Calco,,711C3002,CiLON™ 30 % GF PA 6 Black
,NSL223728,Automotive,Automotive,Dupont/Performance Speciality,Minlon EFE6053,"https://drive.google.com/open?id=1bibGRpvz-VYlJynZ0S7NpVVsy2B9peEw, https://drive.google.com/open?id=1WYUycEqEHqgMwXgHNq3-lDpLWBSHO1Hd",720C4301,CiLON™ 25%MF + 15%GF PA66 Black
,NSL223726,Automotive,automotive,Sabic,SABIC XENOY X4840 PBT+PC ,https://drive.google.com/open?id=1auJPvFbSdMbEeg6X-Vk0gch3FFacljiI,#N/A,#N/A
,NSL223724,Industrial,Automotive Switches,Celanese/Next,LW9020,https://drive.google.com/open?id=1x6rsi75TUXe4-s6xAJ3NldQOeDPCCUcA,#N/A,#N/A
,NSL223752,Automotive,automotive  component ,NEXA,NA,,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL223755,Automotive,AUTOMOTIVE PART,NO,NA,,721C0001,CiLON™ Unfilled PA 66 Black
,NSL223714,Electrical,Bus bar clip,Guzlon,GF3H,,710C3021A,#N/A
,NSL223713,Electrical,electrical switch parts,DSM/Lanxess/Envalior,Tufnyl RA104A1  Natural,,#N/A,#N/A
,NSL223741,Industrial,Healthcare Medical bed side rails,Calco,710C3031,,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL223740,Industrial,Cable Tie,"Axel, GSFC, PI, DOMO",DOMAMID 6N1 NC,"https://drive.google.com/open?id=1CORHU1HtsOdW0WnfncIbj1p3kUH2lzqg, https://drive.google.com/open?id=1Gc_b906FdMY84SlY7xmRPGAPWti1my-T",#N/A,#N/A
,NSL223748,Industrial,Water Wall,KLON,PA06 30 K BLACK,,711C3001M,CiLON™ 30 % GF PA6 Black
,NSL223749,Industrial,water wall,KELSEY,KELON 3306GF,https://drive.google.com/open?id=1Y9jkSXBkPQv58nnFY-_dEfIimZWM7V-t,#N/A,#N/A
,NSL223765,Industrial,Export material ,SPERSH,NA,,#N/A,#N/A
,NSL223766,Electrical,CFL,K KALPANA ,NA,,#N/A,#N/A
,NSL223731,Industrial,Engineering Parts,DSM/Lanxess/Envalior,B4165E,,#N/A,#N/A
,NSL223768,Electrical,Cable connecter,Ravago,NA,,#N/A,#N/A
,NSL223764,Industrial,AGRICULTURE PARTS,ZEPHYR POLYMERS PVT LTD,PPC GF60 01018,"https://drive.google.com/open?id=18V7l7RaZqdWpRlQTE8kcQDe6c-4V15ln, https://drive.google.com/open?id=1b-HxJzbREO3Y7T4KxUzEmTa4a63DI_YT",#N/A,#N/A
,NSL223769,Automotive,Automotive Gare,Calco,720C3031,,720C3034,CiLON™ 30% GF PA66 Natural
,NSL223759,Automotive,Headlamp part,DSM/Lanxess/Envalior,Pocan T7331,https://drive.google.com/open?id=1rdNJJa_lTx0vfirZ4DPuVOqGnDdUa4WC,740C3004,#N/A
,NSL223760,Automotive,Automotive,Sabic,SABIC-C1100HF-PCABS-Europe-Africa-Middle-East,https://drive.google.com/open?id=1bPseNxgeFCyAqOflJ0GlW5c6rjy83SPZ,#N/A,#N/A
,NSL223761,Automotive,Automotive Fendor,Cavastro,Bayblend T90 XG,https://drive.google.com/open?id=1lNuesTa11RXtN17A6MpO7OthdY7iQirM,#N/A,#N/A
,NSL223692,Automotive,Door handle  bracket ,DSM/Lanxess/Envalior,K224HG6 natural,,710C3034,#N/A
,NSL223776,Automotive,AC Vent,Calco,NA,,730C3001A,#N/A
,NSL223775,Automotive,Bazzel lamp (metallised),DSM/Lanxess/Envalior,POCAN1203,,#N/A,#N/A
,NSL223773,Electrical,Electrical,Calco,750C3031,,750C3031,PiCAN™  30% GF PC Natural
,NSL223780,Industrial,Nylon Cable Tie,"Radici/Ester, Guzlon, PI","GUJLON M28RC (NAT)S, Pi-Lon 600CT","https://drive.google.com/open?id=1404fagP-pEGo-AHHXXq0EuxKacpQsP1V, https://drive.google.com/open?id=1_07kOK5tPot8SuqjTsnwspu_Kc03ubDC",#N/A,#N/A
,NSL223778,Electrical,Electrical Junction Box (Top-Bottom),Covestro,BAYBLEND FR3000,"https://drive.google.com/open?id=1MRBZYibX_m07Hd5_clzPdOCMpr3EjVFX, https://drive.google.com/open?id=1OjRk-l9fWxl6GE1JHhVT15ozHk6zoIlj",#N/A,#N/A
,NSL223777,Automotive,Cup Holder,Machino,NA.,,#N/A,#N/A
,NSL223779,Industrial,Textile Machine Parts,Dupont/Performance Speciality,ZYTEL 70G30HSLR BK099,https://drive.google.com/open?id=19u5FRzsTvJtCRQBG7z7nTt3IEnpmrFLV,720C3001,CiLON™ 33 % GF PA 66 Black
,NSL223739,Electrical,"PCB Connectors, Din Rail Terminal Blocks, Fuse Holders, Micro Switches, Toggle Switches, Push  Button Switches & Power Entry Components","Dupont/Performance Speciality, Ascend/Formulated","Zytel 101F NC010, 101L NC010 & VYDYNE 21SPC, VYDYNE 21SPF","https://drive.google.com/open?id=1nYT-jIUFMsUJZZNaOFboxVJ54ENnnUj8, https://drive.google.com/open?id=13BuusY-PBrqkSW4pRZvxFLMlBy8ZjmQd, https://drive.google.com/open?id=1_3pIjFedNjXEJ2Uw6l4vOxMMnn5ITCRV, https://drive.google.com/open?id=1fnSUInVJpx3Gbt-I09LVaj7SEMZQZUvt",#N/A,#N/A
,NSL223658,Automotive,auto component,Ascend/Formulated,N6GF30LT Natural,,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL223789,Automotive,auto lighting parts ( NEW SOP at nascent stage),Calco,NA,,740C5002,#N/A
,NSL223798,Automotive,BCK COVR CUM SPEDO FLAP/BELLY PAN,APPL,APPLON NL 260 COLOR UV,https://drive.google.com/open?id=1uhUz9GPeOypngOecttDw2QNvFvnO_bvt,Reject,#N/A
,NSL223788,Automotive,Automotive,KING FA,KPPTF 40 BK,,#N/A,#N/A
,NSL223787,Automotive,Bazel,Sabic,POCAN 1203 P0507,https://drive.google.com/open?id=1KE0-0mN11t3EOLkhayfwOQOuKJ5UXh3f,#N/A,#N/A
,NSL223804,Automotive,Mobility Components &Systems,customer spec,customer spec,https://drive.google.com/open?id=1eqLTEiP6pg0LXpHC5MWW2EH6PP8TvsYK,Reject,#N/A
,NSL223810,Automotive,Cover (please see photo attached),Polyone (Avient),Bergamid A70 G30 H,"https://drive.google.com/open?id=1lkotNGoEUX7vBjMLntbTsqVwr8A-2YG7, https://drive.google.com/open?id=1B1zdnc7RbQf0OhbjTF_JU9kzFE4HPdtF, https://drive.google.com/open?id=1kFdKbplt25kpAu4EN5ykFs8n1SqhQW8R",720C3051HS,#N/A
,NSL223809,Automotive,auto component,APPL,PPGF20 ,,#N/A,#N/A
,NSL223806,Automotive,auto compoennt,"Guzlon, ",N6GP28 Natur4al,,710C0031,CiLON™ Unfilled PA 6 Natural
,NSL223808,Automotive,auto compoent,Guzlon,GFN3H,,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL223807,Automotive,Bobbin,Ascend/Formulated,21SPC,,#N/A,#N/A
,NSL223805,Automotive,Automotive Bobbin ,Calco,CALCO,,#N/A,#N/A
,NSL223644,Automotive,Bazal,LOXIM,PCPBT,,760C2181,#N/A
,NSL223791,Electrical,holder/lever/cover,LG,LUMID GP2151BF,https://drive.google.com/open?id=1Qpv3zdSmS7ME1CYUZ2VZEvGQb-kQgOd6,#N/A,#N/A
,NSL223827,Industrial, Used in gas stations,Radici/Ester,PA6 Black 30% GF  ,"https://drive.google.com/open?id=1O4VCcC95eWMtlbKXeMZrIvL7DnMHZTjH, https://drive.google.com/open?id=1T-N4zmmxqBU22Ml_hCACkHmfqTAguc6X",711C3003,CiLON™ 30 % GF PA 6 Black
,NSL223825,Automotive,Slider Wheel,Guzlon,NA,,710C0031A,#N/A
,NSL223663,Industrial,tripod,Brakes India,PA1031 Blk,,710C1001,CiLON™ 15 % GF PA6 Black
,NSL223835,Automotive,For Fuel Level Sensors,NA,NA,,721C3001,CiLON™ 33% GF PA 66 Black
,NSL223838,Automotive,Automotive part,NEXT,NA,,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL223837,RAILWAY PART,RAILWAY PART,NEW DEVLOPMENT,NA,,710C3001F,CiLON™ 30 % GF FR PA 6 Black
,NSL223836,RAILWAY PART,RAILWAY COMPONENT ,NEW DEVLOPMENT,NA,,710C3083F,CiLON™ 30% GF FR PA6 Grey
,NSL223840,Electrical,METER TERMINAL BLOCK,NEW DEVLOPMENT,NA,,#N/A,#N/A
,NSL223839,Electrical,SMART METER,NEW DEVLOPMENT,NA,,#N/A,#N/A
,NSL223843,Electrical,Insulation wire awg,NA,NA,,Insufficient Information,#N/A
,NSL223842,Electrical,Electrical parts,Calco,NA,,721C0001F,CiLON™ UF FR PA66 Black
,NSL223832,Automotive,Piston,DSM/Lanxess/Envalior,TV4261,,730C3031,ZiLITE™ 30% GF PBT Natural
,NSL223833,Electrical,Fan wiring mounting,Ravago,NA,,711C0092F,CiLON™ UF FR PA6 White
,NSL223841,EXPORT,AGRICULTURE COMPONENT ,TILL DATE USE NATURAL COLOR ,NA,,711C3081,CiLON™ 30 % GF PA 6 Grey
,NSL223853,Automotive,Slider,Calco,NA,,#N/A,#N/A
,NSL223854,Electrical,Fan colar,Calco,NA,,720C0031,CiLON™ UF PA66 Natural
,NSL223863,Automotive,Electrical Switch Housing,DSM/Lanxess/Envalior,ArniteTV4261,https://drive.google.com/open?id=1ECL-DpvOSyzslPvfp6eYJNYChGguIglP,730C3001,ZiLITE™ 30% GF PBT Black
,NSL223860,Automotive,shockup,AUTOTECH,P66 GF30,,720C3004HS,CiLON™ 30% GF PA66 Black
,NSL223867,Automotive,SWITCHES ,DSM/Lanxess/Envalior,ArniteTV4261,https://drive.google.com/open?id=1NTWeAQDsTj2JVlYvjsxSz-uOxQJ3uSaj,730C3031,ZiLITE™ 30% GF PBT Natural
,NSL223870,Automotive,Automotive ,Radici/Ester,ESTORAMIDE 615G,,710C1031,CiLON™ 15 % GF PA 6 Natural
,NSL223865,Automotive,AUTOMOTIVE SENCER ,Dupont/Performance Speciality,CRASTIN LW9030FR,https://drive.google.com/open?id=12PjZYblZOJNFOq44aGSC85wAsXg1yyFi,770C3001F,ZiLITE™ 30 % GF FR PBT+ASA Black
,NSL223866,Automotive,Automotive Two Wheeler parts,Radici/Ester,ESTOLAMIDE,,711C3001M,CiLON™ 30 % GF PA6 Black
,NSL223862,Automotive,Automotive,Ascend/Formulated,PA66 UF,,#N/A,#N/A
